rank,name,country,profits,headquarters,revenue,marketvalue,assets,ceo,industry,state
599,Sumitomo Electric,Japan,1085.7,Japan,27810,12086,28371,Masayoshi Matsumoto,Auto & Truck Parts,
987,Sumitomo Metal Mining,Japan,826.9,Japan,8423,11673,15976,Nobumasa Kemori,Diversified Metals & Mining,
59,Sumitomo Mitsui Financial,Japan,7223.2,Japan,49131,58292,1847732,Takeshi Kunibe,Major Banks,
479,Sumitomo Mitsui Trust,Japan,1017.6,Japan,11346,16324,570031,Hitoshi Tsunekage,Regional Banks,
605,Sumitomo Realty,Japan,1080.3,Japan,8557,19253,48772,Junji Takashima,Real Estate,
1970,Sumitomo Rubber,Japan,415.8,Japan,8106,4557,9479,Tetsuji Mino,Auto & Truck Parts,
1238,Sun Art Retail Group,Hong Kong,411.3,Hong Kong,15127,11181,9173,Frederic Holinier,Food Retail,
267,Sun Hung Kai Properties,Hong Kong,6949.2,Hong Kong,11289,46870,86955,Ping Kwok,Real Estate,
265,Sun Life Financial,Canada,1839.5,Canada,21759,25872,205995,Dean Connor,Life & Health Insurance,
1944,Sun Pharma Industries,India,318.9,India,4093,16823,9858,Dilip Shanghvi,Pharmaceuticals,
336,SunTrust Banks,United States,2449,Georgia,9858,32185,204885,Bill Rogers Jr.,Regional Banks,Georgia
463,Sunac China Holdings,China,1653,China,10046,19573,95685,Meng Wang,Construction Services,
202,Suncor Energy,Canada,3034.7,Canada,25743,65072,70799,Steven Williams,Oil & Gas Operations,
637,Suncorp Group,Australia,758.9,Australia,10731,13609,76540,Michael Cameron,Diversified Insurance,
600,Suning Appliance,China,640.6,China,30090,19709,25742,Xiao Wang,Specialty Stores,
1563,Sunny Optical Technology Group,China,431.1,China,3317,19886,2415,Yang Sun,,
1783,Sunshine City Group,China,313.1,China,4887,4725,36032,Teng Lin,,
941,Suntory Beverage & Food,Japan,696.6,Japan,11005,14295,14482,Saburo Kogo,Beverages,
1788,Supervalu,United States,45,Minnesota,15336,623,4387,Mark Gross,Food Retail,Minnesota
335,Surgutneftegas,Russia,3337.2,Russia,19823,17192,74498,Vladimir Bogdanov,Oil & Gas Operations,
1637,Suruga Bank,Japan,406.8,Japan,1356,3149,39701,Mitsuyoshi Okano,Regional Banks,
1498,Suzano Papel e Celulose,Brazil,674.4,Brazil,3501,13156,9049,Antonio Nato,Paper & Paper Products,
1658,Suzuken,Japan,169.8,Japan,19164,4242,11074,Jian Zhang,Pharmaceuticals,
366,Suzuki Motor,Japan,1946,Japan,33900,27617,31414,Toshihiro Suzuki,Auto & Truck Manufacturers,
460,Svenska Handelsbanken,Sweden,1916.9,Sweden,6800,22636,353867,Anders Bouvin,Major Banks,
906,Swatch Group,Switzerland,744.7,Switzerland,8087,25474,13832,Georges Hayek Jr.,Apparel/Accessories,
442,Swedbank,Sweden,2308.6,Sweden,6681,25271,294827,Birgitte EMBA,Major Banks,
491,Swire Pacific,Hong Kong,3345.4,Hong Kong,10303,15141,53868,John Slosar,Conglomerates,
469,Swiss Life Holding,Switzerland,1023.1,Switzerland,19367,12263,218561,Patrick Frost,Life & Health Insurance,
